match_id,team_id,from_player_id,from_position,to_player_id,to_position,from_position_x,from_position_y,from_position_encoded
3788742,776,3043,Midfield,3570,Midfield,68.5,66.1,3
3788742,776,3570,Midfield,5534,Defender,56.1,71.6,3
3788742,1835,8667,Goalkeeper,24455,Defender,16.1,42.7,2
3788742,1835,24455,Defender,24648,Midfield,22.5,34.7,0
3788742,1835,24648,Midfield,24455,Defender,36.1,29.2,3
3788742,1835,24455,Defender,8667,Goalkeeper,19.8,36.1,0
3788742,776,6797,Defender,3959,Defender,42.0,48.4,0
3788742,776,3959,Defender,3570,Midfield,41.8,35.0,0
3788742,776,16554,Defender,3043,Midfield,84.4,16.7,0
3788742,776,3043,Midfield,5527,Midfield,88.3,21.5,3
3788742,776,5527,Midfield,21261,Forward,92.0,10.2,3
3788742,776,21261,Forward,4447,Forward,99.1,29.6,1
3788742,776,5534,Defender,3570,Midfield,22.5,42.2,0
3788742,776,3570,Midfield,6797,Defender,34.9,44.3,3
3788742,776,6797,Defender,3043,Midfield,46.9,71.2,0
3788742,776,3043,Midfield,6797,Defender,53.5,56.8,3
3788742,776,6797,Defender,5534,Defender,53.0,70.2,0
3788742,776,5534,Defender,16554,Defender,45.1,50.2,0
3788742,776,16554,Defender,5527,Midfield,84.3,2.7,0
3788742,776,5527,Midfield,3959,Defender,69.6,3.7,3
3788742,776,3959,Defender,6797,Defender,61.3,32.3,0
3788742,776,6797,Defender,5534,Defender,62.7,72.9,0
3788742,776,5534,Defender,3959,Defender,48.2,56.7,0
3788742,776,3959,Defender,16554,Defender,44.5,37.5,0
3788742,776,16554,Defender,21261,Forward,89.0,5.2,0
3788742,776,21261,Forward,6797,Defender,79.2,17.5,1
3788742,776,5534,Defender,6797,Defender,43.1,54.4,0
3788742,1835,24648,Midfield,38196,Defender,53.3,3.5,3
3788742,776,3570,Midfield,6797,Defender,64.1,68.9,3
3788742,776,6797,Defender,5534,Defender,54.8,72.0,0
3788742,1835,8667,Goalkeeper,13215,Midfield,15.0,31.2,2
3788742,1835,13215,Midfield,15416,Defender,36.3,48.2,3
3788742,1835,15416,Defender,13215,Midfield,39.4,76.7,0
3788742,776,16554,Defender,3043,Midfield,98.2,0.1,0
3788742,776,16554,Defender,3570,Midfield,67.1,1.9,0
3788742,776,3570,Midfield,16554,Defender,46.3,21.5,3
3788742,776,16554,Defender,3959,Defender,64.1,2.4,0
3788742,776,3959,Defender,5534,Defender,47.8,15.8,0
3788742,776,5534,Defender,6797,Defender,41.7,53.6,0
